prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
local-plan,,,,government-organisation:D1342,adur-district-council-new-local-plan,4220656,,,
local-plan,,,,government-organisation:D1342,amber-valley-borough-council-new-local-plan,4220657,,,
local-plan,,,,government-organisation:D1342,arun-district-council-new-local-plan,4220658,,,
local-plan,,,,government-organisation:D1342,ashfield-district-council-new-local-plan,4220659,,,
local-plan,,,,government-organisation:D1342,ashford-borough-council-new-local-plan,4220660,,,
local-plan,,,,government-organisation:D1342,babergh-district-council-new-local-plan,4220661,,,
local-plan,,,,government-organisation:D1342,barnsley-metropolitan-borough-council-new-local-plan,4220662,,,
local-plan,,,,government-organisation:D1342,basildon-borough-council-new-local-plan,4220663,,,
local-plan,,,,government-organisation:D1342,basingstoke-and-deane-borough-council-new-local-plan,4220664,,,
local-plan,,,,government-organisation:D1342,bassetlaw-district-council-new-local-plan,4220665,,,
local-plan,,,,government-organisation:D1342,bath-and-north-east-somerset-council-new-local-plan,4220666,,,
local-plan,,,,government-organisation:D1342,bedford-borough-council-new-local-plan,4220667,,,
local-plan,,,,government-organisation:D1342,birmingham-city-council-new-local-plan,4220668,,,
local-plan,,,,government-organisation:D1342,blaby-district-council-new-local-plan,4220669,,,
local-plan,,,,government-organisation:D1342,blackburn-with-darwen-borough-council-new-local-plan,4220670,,,
local-plan,,,,government-organisation:D1342,blackpool-borough-council-new-local-plan,4220671,,,
local-plan,,,,government-organisation:D1342,bolsover-district-council-new-local-plan,4220672,,,
local-plan,,,,government-organisation:D1342,bolton-metropolitan-borough-council-new-local-plan,4220673,,,
local-plan,,,,government-organisation:D1342,borough-council-of-kings-lynn-and-west-norfolk-new-local-plan,4220674,,,
local-plan,,,,government-organisation:D1342,boston-borough-council-new-local-plan,4220675,,,
local-plan,,,,government-organisation:D1342,bournemouth-christchurch-and-poole-council-new-local-plan,4220676,,,
local-plan,,,,government-organisation:D1342,bracknell-forest-council-new-local-plan,4220677,,,
local-plan,,,,government-organisation:D1342,braintree-district-council-new-local-plan,4220678,,,
local-plan,,,,government-organisation:D1342,breckland-district-council-new-local-plan,4220679,,,
local-plan,,,,government-organisation:D1342,brentwood-borough-council-new-local-plan,4220680,,,
local-plan,,,,government-organisation:D1342,brighton-and-hove-city-council-new-local-plan,4220681,,,
local-plan,,,,government-organisation:D1342,bristol-city-council-new-local-plan,4220682,,,
local-plan,,,,government-organisation:D1342,broadland-district-council-new-local-plan,4220683,,,
local-plan,,,,government-organisation:D1342,broads-authority-new-local-plan,4220684,,,
local-plan,,,,government-organisation:D1342,bromsgrove-district-council-new-local-plan,4220685,,,
local-plan,,,,government-organisation:D1342,broxbourne-borough-council-new-local-plan,4220686,,,
local-plan,,,,government-organisation:D1342,broxtowe-borough-council-new-local-plan,4220687,,,
local-plan,,,,government-organisation:D1342,buckinghamshire-council-new-local-plan,4220688,,,
local-plan,,,,government-organisation:D1342,burnley-borough-council-new-local-plan,4220689,,,
local-plan,,,,government-organisation:D1342,bury-metropolitan-borough-council-new-local-plan,4220690,,,
local-plan,,,,government-organisation:D1342,calderdale-metropolitan-borough-council-new-local-plan,4220691,,,
local-plan,,,,government-organisation:D1342,cambridge-city-council-new-local-plan,4220692,,,
local-plan,,,,government-organisation:D1342,cannock-chase-district-council-new-local-plan,4220693,,,
local-plan,,,,government-organisation:D1342,canterbury-city-council-new-local-plan,4220694,,,
local-plan,,,,government-organisation:D1342,castle-point-borough-council-new-local-plan,4220695,,,
local-plan,,,,government-organisation:D1342,central-bedfordshire-council-new-local-plan,4220696,,,
local-plan,,,,government-organisation:D1342,charnwood-borough-council-new-local-plan,4220697,,,
local-plan,,,,government-organisation:D1342,chelmsford-city-council-new-local-plan,4220698,,,
local-plan,,,,government-organisation:D1342,cheltenham-borough-council-new-local-plan,4220699,,,
local-plan,,,,government-organisation:D1342,cherwell-district-council-new-local-plan,4220700,,,
local-plan,,,,government-organisation:D1342,cheshire-east-council-new-local-plan,4220701,,,
local-plan,,,,government-organisation:D1342,cheshire-west-and-chester-council-new-local-plan,4220702,,,
local-plan,,,,government-organisation:D1342,chesterfield-borough-council-new-local-plan,4220703,,,
local-plan,,,,government-organisation:D1342,chichester-district-council-new-local-plan,4220704,,,
